contrast_id,candidate,comparator,candidate_metric,comparator_metric,delta_original,ci_lower,ci_upper,p_raw,p_holm,statistically_significant,delta_return_original,ci_ret_lower,ci_ret_upper,p_ret_raw,block_length_weeks,n_markets,realizations_by_market,evaluation_start,evaluation_end,inference_method
C1,MEM_SIM,MEM_RANDOM,0.9718,0.7872,0.1846,-0.6484,1.0176,0.6606,1.0,False,0.0667,-0.1006,0.234,0.4353,4,6,"MEM_SIM: 1, MEM_RANDOM: 3",2024-01-01,2024-12-31,"First-order centered synchronized calendar-week block bootstrap (10,000 draws)"
C2,MEM_SIM,HIST_PRIOR,0.9718,0.8736,0.0982,-0.7586,0.955,0.8184,1.0,False,0.0515,-0.1207,0.2237,0.5534,4,6,"MEM_SIM: 1, HIST_PRIOR: 1",2024-01-01,2024-12-31,"First-order centered synchronized calendar-week block bootstrap (10,000 draws)"
C3,MEM_SIM,MLP_BASE,0.9718,0.7578,0.214,-0.703,1.1309,0.6517,1.0,False,0.0474,-0.1562,0.251,0.6467,4,6,"MEM_SIM: 1, MLP_BASE: 3",2024-01-01,2024-12-31,"First-order centered synchronized calendar-week block bootstrap (10,000 draws)"
C4,MLP_GATE,MEM_SIM,0.803,0.9718,-0.1688,-0.5663,0.2287,0.3997,1.0,False,-0.0424,-0.124,0.0391,0.3017,4,6,"MLP_GATE: 3, MEM_SIM: 1",2024-01-01,2024-12-31,"First-order centered synchronized calendar-week block bootstrap (10,000 draws)"
C5,MLP_GATE,MLP_MIX_SELECTED,0.803,0.9102,-0.1072,-0.4147,0.2003,0.4952,1.0,False,-0.0121,-0.0688,0.0446,0.6673,4,6,"MLP_GATE: 3, MLP_MIX_SELECTED: 3",2024-01-01,2024-12-31,"First-order centered synchronized calendar-week block bootstrap (10,000 draws)"
